#    name       date    lev    value 
      pr  2015-01-01     -1      nan 
      pr  2016-01-01     -1 0.0001797521 
      pr  2017-01-01     -1 0.0001785325 
      pr  2018-01-01     -1 0.0001818388 
      pr  2019-01-01     -1 0.0001826654 
      pr  2020-01-01     -1 0.0001766844 
      pr  2021-01-01     -1 0.0001769022 
      pr  2022-01-01     -1 0.0001814852 
      pr  2023-01-01     -1 0.0001788813 
      pr  2024-01-01     -1 0.0001750255 
      pr  2025-01-01     -1 0.0001725808 
      pr  2026-01-01     -1 0.0001734608 
      pr  2027-01-01     -1 0.0001727361 
      pr  2028-01-01     -1 0.0001768642 
      pr  2029-01-01     -1 0.0001817818 
      pr  2030-01-01     -1 0.0001783609 
      pr  2031-01-01     -1 0.0001730708 
      pr  2032-01-01     -1 0.0001783448 
      pr  2033-01-01     -1 0.0001714914 
      pr  2034-01-01     -1 0.0001698131 
      pr  2035-01-01     -1 0.0001758347 
      pr  2036-01-01     -1 0.0001686907 
      pr  2037-01-01     -1 0.0001683158 
      pr  2038-01-01     -1 0.0001770336 
      pr  2039-01-01     -1 0.0001731847 
      pr  2040-01-01     -1 0.0001691838 
      pr  2041-01-01     -1 0.0001704624 
      pr  2042-01-01     -1 0.0001707401 
      pr  2043-01-01     -1 0.000174651 
      pr  2044-01-01     -1 0.0001752679 
      pr  2045-01-01     -1 0.0001756497 
      pr  2046-01-01     -1 0.0001741888 
      pr  2047-01-01     -1 0.0001755871 
      pr  2048-01-01     -1 0.0001736553 
      pr  2049-01-01     -1 0.0001800481 
      pr  2050-01-01     -1 0.000174215 
      pr  2051-01-01     -1 0.0001705941 
      pr  2052-01-01     -1 0.000170859 
      pr  2053-01-01     -1 0.0001741026 
      pr  2054-01-01     -1 0.0001720147 
      pr  2055-01-01     -1 0.0001718299 
      pr  2056-01-01     -1 0.0001751911 
      pr  2057-01-01     -1 0.000173604 
      pr  2058-01-01     -1 0.000170672 
      pr  2059-01-01     -1 0.0001744173 
      pr  2060-01-01     -1 0.0001727378 
      pr  2061-01-01     -1 0.0001734901 
      pr  2062-01-01     -1 0.0001769363 
      pr  2063-01-01     -1 0.0001725472 
      pr  2064-01-01     -1 0.0001739693 
      pr  2065-01-01     -1 0.0001733562 
      pr  2066-01-01     -1 0.000173877 
      pr  2067-01-01     -1 0.000173283 
      pr  2068-01-01     -1 0.0001759647 
      pr  2069-01-01     -1 0.0001744005 
      pr  2070-01-01     -1 0.0001755134 
      pr  2071-01-01     -1 0.0001732 
      pr  2072-01-01     -1 0.0001743614 
      pr  2073-01-01     -1 0.0001796888 
      pr  2074-01-01     -1 0.0001752581 
      pr  2075-01-01     -1 0.0001744638 
      pr  2076-01-01     -1 0.0001734118 
      pr  2077-01-01     -1 0.0001740311 
      pr  2078-01-01     -1 0.0001693696 
      pr  2079-01-01     -1 0.0001700476 
      pr  2080-01-01     -1 0.0001787395 
      pr  2081-01-01     -1 0.000179703 
      pr  2082-01-01     -1 0.0001753441 
      pr  2083-01-01     -1 0.0001785669 
      pr  2084-01-01     -1 0.0001788525 
      pr  2085-01-01     -1 0.0001848093 
      pr  2086-01-01     -1 0.0001859384 
      pr  2087-01-01     -1 0.0001791752 
      pr  2088-01-01     -1 0.000178262 
      pr  2089-01-01     -1 0.0001859518 
      pr  2090-01-01     -1 0.0001820269 
      pr  2091-01-01     -1 0.0001822073 
      pr  2092-01-01     -1 0.0001835137 
      pr  2093-01-01     -1 0.0001801294 
      pr  2094-01-01     -1 0.000182921 
      pr  2095-01-01     -1 0.0001828099 
      pr  2096-01-01     -1 0.0001839262 
      pr  2097-01-01     -1 0.0001774131 
      pr  2098-01-01     -1 9.074458e-05 
      pr  2099-01-01     -1        0 
      pr  2100-01-01     -1        0 
cdo    outputtab: Processed 86 values from 1 variable over 86 timesteps [0.10s 45MB].
