#    name       date    lev    value 
      pr  2015-01-01     -1      nan 
      pr  2016-01-01     -1 0.0002766876 
      pr  2017-01-01     -1 0.0002767067 
      pr  2018-01-01     -1 0.0002821668 
      pr  2019-01-01     -1 0.0002666884 
      pr  2020-01-01     -1 0.0002766976 
      pr  2021-01-01     -1 0.0002776347 
      pr  2022-01-01     -1 0.0002831541 
      pr  2023-01-01     -1 0.0002751567 
      pr  2024-01-01     -1 0.0002813841 
      pr  2025-01-01     -1 0.0002865785 
      pr  2026-01-01     -1 0.0002970468 
      pr  2027-01-01     -1 0.0002821143 
      pr  2028-01-01     -1 0.0002755775 
      pr  2029-01-01     -1 0.0002818972 
      pr  2030-01-01     -1 0.0002866143 
      pr  2031-01-01     -1 0.0002862034 
      pr  2032-01-01     -1 0.0003009542 
      pr  2033-01-01     -1 0.0002905809 
      pr  2034-01-01     -1 0.0002906736 
      pr  2035-01-01     -1 0.0002951865 
      pr  2036-01-01     -1 0.0002909795 
      pr  2037-01-01     -1 0.0002857365 
      pr  2038-01-01     -1 0.0002977958 
      pr  2039-01-01     -1 0.0002844204 
      pr  2040-01-01     -1 0.0002718274 
      pr  2041-01-01     -1 0.0002874323 
      pr  2042-01-01     -1 0.0002757986 
      pr  2043-01-01     -1 0.0002857216 
      pr  2044-01-01     -1 0.0002899856 
      pr  2045-01-01     -1 0.0002635447 
      pr  2046-01-01     -1 0.0002759992 
      pr  2047-01-01     -1 0.0002828333 
      pr  2048-01-01     -1 0.0002800079 
      pr  2049-01-01     -1 0.0002710282 
      pr  2050-01-01     -1 0.0002744828 
      pr  2051-01-01     -1 0.0002733478 
      pr  2052-01-01     -1 0.0003000915 
      pr  2053-01-01     -1 0.0002909752 
      pr  2054-01-01     -1 0.0002961154 
      pr  2055-01-01     -1 0.0002721355 
      pr  2056-01-01     -1 0.000278991 
      pr  2057-01-01     -1 0.000293392 
      pr  2058-01-01     -1 0.000284557 
      pr  2059-01-01     -1 0.0002823769 
      pr  2060-01-01     -1 0.0002831985 
      pr  2061-01-01     -1 0.0002771964 
      pr  2062-01-01     -1 0.0002801665 
      pr  2063-01-01     -1 0.0002870054 
      pr  2064-01-01     -1 0.000288603 
      pr  2065-01-01     -1 0.0002756655 
      pr  2066-01-01     -1 0.0002795098 
      pr  2067-01-01     -1 0.0002850697 
      pr  2068-01-01     -1 0.0002827742 
      pr  2069-01-01     -1 0.0002700384 
      pr  2070-01-01     -1 0.0002774502 
      pr  2071-01-01     -1 0.0002618158 
      pr  2072-01-01     -1 0.0002717008 
      pr  2073-01-01     -1 0.0002893948 
      pr  2074-01-01     -1 0.00027485 
      pr  2075-01-01     -1 0.0002711645 
      pr  2076-01-01     -1 0.0002689317 
      pr  2077-01-01     -1 0.0002693434 
      pr  2078-01-01     -1 0.0002867022 
      pr  2079-01-01     -1 0.0002742478 
      pr  2080-01-01     -1 0.0002536669 
      pr  2081-01-01     -1 0.0002846938 
      pr  2082-01-01     -1 0.0002758117 
      pr  2083-01-01     -1 0.0002772294 
      pr  2084-01-01     -1 0.0002682535 
      pr  2085-01-01     -1 0.0002507196 
      pr  2086-01-01     -1 0.0002687775 
      pr  2087-01-01     -1 0.000264526 
      pr  2088-01-01     -1 0.0002525703 
      pr  2089-01-01     -1 0.0002597286 
      pr  2090-01-01     -1 0.0002667924 
      pr  2091-01-01     -1 0.0002636724 
      pr  2092-01-01     -1 0.0002767025 
      pr  2093-01-01     -1 0.000271865 
      pr  2094-01-01     -1 0.000269103 
      pr  2095-01-01     -1 0.0002705861 
      pr  2096-01-01     -1 0.0002728484 
      pr  2097-01-01     -1 0.0002602488 
      pr  2098-01-01     -1 5.535968e-05 
      pr  2099-01-01     -1        0 
      pr  2100-01-01     -1        0 
cdo    outputtab: Processed 86 values from 1 variable over 86 timesteps [0.10s 45MB].
